256, 1.786399e-04,1.759529e-04,2.129078e-04,1.951533e-04,1.808000e-04,2.055360e-04
512, 6.785107e-04,6.749630e-04,6.999969e-04,7.390915e-04,7.337280e-04,7.550400e-04
768, 1.510611e-03,1.502037e-03,1.538992e-03,1.652355e-03,1.644512e-03,1.692576e-03
1024, 2.664611e-03,2.657890e-03,2.695084e-03,2.913219e-03,2.889440e-03,2.953504e-03
1280, 4.152851e-03,4.143953e-03,4.197121e-03,4.564420e-03,4.542016e-03,4.603232e-03
1536, 5.969474e-03,5.958796e-03,6.012917e-03,6.480049e-03,6.435040e-03,6.525984e-03
1792, 8.118966e-03,8.101940e-03,8.196115e-03,8.771938e-03,8.721824e-03,8.830016e-03
2048, 1.059636e-02,1.057506e-02,1.066399e-02,1.128865e-02,1.121341e-02,1.135645e-02
2304, 1.340278e-02,1.337695e-02,1.349711e-02,1.418610e-02,1.412534e-02,1.429786e-02
2560, 1.654151e-02,1.650786e-02,1.663113e-02,1.739206e-02,1.732890e-02,1.749619e-02
2816, 2.000247e-02,1.996303e-02,2.015805e-02,2.094646e-02,2.087581e-02,2.104899e-02
3072, 2.379705e-02,2.375484e-02,2.392983e-02,2.500533e-02,2.493126e-02,2.512480e-02
3328, 2.794112e-02,2.787304e-02,2.806306e-02,2.930939e-02,2.924378e-02,2.945718e-02
3584, 3.239361e-02,3.232217e-02,3.253317e-02,3.398614e-02,3.391306e-02,3.412451e-02
3840, 3.716273e-02,3.709698e-02,3.733897e-02,3.907117e-02,3.897129e-02,3.922474e-02
4096, 4.232314e-02,4.220104e-02,4.249811e-02,4.443797e-02,4.434224e-02,4.460970e-02
4352, 4.771552e-02,4.763412e-02,4.793000e-02,5.028910e-02,5.018777e-02,5.048880e-02
4608, 5.349005e-02,5.340004e-02,5.374503e-02,5.635207e-02,5.625117e-02,5.659056e-02
4864, 5.958937e-02,5.950999e-02,5.981708e-02,6.279111e-02,6.269235e-02,6.307338e-02
5120, 6.604468e-02,6.591296e-02,6.628704e-02,6.955812e-02,6.944307e-02,6.981828e-02
5376, 7.278295e-02,7.266307e-02,7.304001e-02,7.666229e-02,7.652902e-02,7.691267e-02
5632, 7.987486e-02,7.974195e-02,8.025479e-02,8.415155e-02,8.402230e-02,8.444883e-02
5888, 8.729960e-02,8.717299e-02,8.762908e-02,9.199253e-02,9.190105e-02,9.233056e-02
6144, 9.503511e-02,9.491086e-02,9.530306e-02,1.001845e-01,1.000871e-01,1.004944e-01
6400, 1.031368e-01,1.030180e-01,1.035099e-01,1.087166e-01,1.085744e-01,1.091259e-01
6656, 1.115066e-01,1.113980e-01,1.118309e-01,1.177362e-01,1.176419e-01,1.178865e-01
6912, 1.202764e-01,1.201570e-01,1.207080e-01,1.271628e-01,1.270304e-01,1.274636e-01
7168, 1.293485e-01,1.291749e-01,1.297750e-01,1.369435e-01,1.367759e-01,1.374359e-01
7424, 1.387418e-01,1.385710e-01,1.390851e-01,1.471012e-01,1.469643e-01,1.476055e-01
7680, 1.484928e-01,1.483071e-01,1.489768e-01,1.575649e-01,1.574375e-01,1.578293e-01
7936, 1.585609e-01,1.583679e-01,1.590929e-01,1.684479e-01,1.682815e-01,1.689403e-01
8192, 1.689249e-01,1.687119e-01,1.693909e-01,1.796760e-01,1.795270e-01,1.801258e-01
8448, 1.796244e-01,1.794050e-01,1.802168e-01,1.913797e-01,1.911984e-01,1.919876e-01
8704, 1.906906e-01,1.904390e-01,1.913588e-01,2.035384e-01,2.033954e-01,2.041610e-01
8960, 2.020381e-01,2.018399e-01,2.026930e-01,2.160529e-01,2.159217e-01,2.163763e-01
9216, 2.137699e-01,2.135639e-01,2.142041e-01,2.289875e-01,2.287731e-01,2.295530e-01
