4000,4000,4000,1,1,1,0, 2.656901e-01,2.656283e-01,2.657301e-01,2.657430e-01,1.206090e-01,3.817511e-02
6000,6000,1777,1,1,1,0, 3.370276e-01,3.368611e-01,3.371410e-01,3.370283e-01,1.444590e-01,8.592415e-02
8000,8000,1000,1,1,1,0, 4.611988e-01,4.610922e-01,4.613192e-01,4.612231e-01,2.010581e-01,1.526070e-01
10000,10000,640,1,1,1,0, 6.325748e-01,6.323543e-01,6.327391e-01,6.327360e-01,2.834630e-01,2.385840e-01
12000,12000,444,1,1,1,0, 8.456056e-01,8.454349e-01,8.460691e-01,8.454919e-01,3.887908e-01,3.434911e-01
14000,14000,326,1,1,1,0, 1.099756e+00,1.099716e+00,1.099813e+00,1.099803e+00,5.155978e-01,4.675510e-01
16000,16000,250,1,1,1,0, 1.394000e+00,1.393965e+00,1.394038e+00,1.394056e+00,6.637311e-01,6.108720e-01
2666,2666,9000,1,1,1,0, 2.626389e-01,2.625790e-01,2.627029e-01,2.627189e-01,1.384940e-01,1.699495e-02
2000,2000,16000,1,1,1,0, 2.920952e-01,2.912784e-01,2.941451e-01,2.914205e-01,1.708221e-01,9.575129e-03
1600,1600,25000,1,1,1,0, 3.224433e-01,3.222253e-01,3.225482e-01,3.222253e-01,2.075810e-01,6.126165e-03
1333,1333,36000,1,1,1,0, 3.635863e-01,3.632832e-01,3.637710e-01,3.640139e-01,2.456131e-01,4.278898e-03
1142,1142,49000,1,1,1,0, 4.033876e-01,4.029682e-01,4.039042e-01,4.029682e-01,2.844141e-01,3.134012e-03
1000,1000,64000,1,1,1,0, 4.529886e-01,4.524429e-01,4.536247e-01,4.524817e-01,3.249080e-01,2.427816e-03
888,888,81000,1,1,1,0, 4.931400e-01,4.922729e-01,4.937537e-01,4.922729e-01,3.637369e-01,1.924992e-03
800,800,100000,1,1,1,0, 5.270779e-01,5.269716e-01,5.272107e-01,5.270398e-01,4.039738e-01,1.550913e-03
727,727,121000,1,1,1,0, 5.871479e-01,5.864942e-01,5.886352e-01,5.867872e-01,4.437020e-01,1.288176e-03
