4000,4000,4000,1,1,1,0, 1.246632e-01,1.245329e-01,1.247909e-01,1.246908e-01,6.037307e-02,1.911879e-02
6000,6000,1777,1,1,1,0, 1.614822e-01,1.614473e-01,1.615353e-01,1.615171e-01,7.209897e-02,4.295516e-02
8000,8000,1000,1,1,1,0, 2.248091e-01,2.247453e-01,2.248755e-01,2.248323e-01,1.005301e-01,7.632613e-02
10000,10000,640,1,1,1,0, 3.140217e-01,3.139849e-01,3.140757e-01,3.140688e-01,1.417651e-01,1.193738e-01
12000,12000,444,1,1,1,0, 4.242449e-01,4.242160e-01,4.243121e-01,4.242940e-01,1.951280e-01,1.720331e-01
14000,14000,326,1,1,1,0, 5.542683e-01,5.542381e-01,5.543013e-01,5.543060e-01,2.578001e-01,2.336891e-01
16000,16000,250,1,1,1,0, 7.062479e-01,7.062163e-01,7.062912e-01,7.063303e-01,3.320322e-01,3.062501e-01
2666,2666,9000,1,1,1,0, 1.228203e-01,1.227231e-01,1.229422e-01,1.228580e-01,6.930113e-02,8.511066e-03
2000,2000,16000,1,1,1,0, 1.387964e-01,1.384470e-01,1.390109e-01,1.384470e-01,8.549881e-02,4.825115e-03
1600,1600,25000,1,1,1,0, 1.544233e-01,1.543882e-01,1.544499e-01,1.545010e-01,1.037440e-01,3.077030e-03
1333,1333,36000,1,1,1,0, 1.745507e-01,1.742461e-01,1.747532e-01,1.742511e-01,1.230791e-01,2.141953e-03
1142,1142,49000,1,1,1,0, 1.963470e-01,1.936090e-01,1.967709e-01,1.974530e-01,1.422920e-01,1.590967e-03
1000,1000,64000,1,1,1,0, 2.199456e-01,2.196479e-01,2.202528e-01,2.202301e-01,1.619780e-01,1.216888e-03
888,888,81000,1,1,1,0, 2.392197e-01,2.385781e-01,2.394650e-01,2.388799e-01,1.819801e-01,9.648800e-04
800,800,100000,1,1,1,0, 2.728307e-01,2.718151e-01,2.735090e-01,2.718151e-01,2.019560e-01,7.879734e-04
727,727,121000,1,1,1,0, 2.953943e-01,2.947788e-01,2.958820e-01,2.958088e-01,2.217450e-01,6.549358e-04
666,666,144000,1,1,1,0, 3.263117e-01,3.233731e-01,3.272810e-01,3.267949e-01,2.415440e-01,5.540848e-04
615,615,169000,1,1,1,0, 3.357758e-01,3.354223e-01,3.362362e-01,3.362300e-01,2.618022e-01,4.780293e-04
571,571,196000,1,1,1,0, 3.615691e-01,3.610759e-01,3.621879e-01,3.625019e-01,2.818270e-01,4.138947e-04
533,533,225000,1,1,1,0, 3.946407e-01,3.936234e-01,3.955963e-01,3.950622e-01,3.017662e-01,3.640652e-04
500,500,256000,1,1,1,0, 4.223508e-01,4.114401e-01,4.289081e-01,4.114401e-01,3.219500e-01,3.230572e-04
8000,8000,8000,1,1,1,0, 6.598706e-01,6.595151e-01,6.604612e-01,6.602423e-01,2.414460e-01,7.632613e-02
12000,12000,3555,1,1,1,0, 8.157106e-01,8.154678e-01,8.160660e-01,8.160532e-01,2.880690e-01,1.720970e-01
16000,16000,2000,1,1,1,0, 1.065381e+00,1.065059e+00,1.065616e+00,1.065767e+00,4.023521e-01,3.053529e-01
20000,20000,1280,1,1,1,0, 1.421448e+00,1.421307e+00,1.421551e+00,1.421515e+00,5.677781e-01,4.770820e-01
24000,24000,888,1,1,1,0, 1.852899e+00,1.852742e+00,1.853092e+00,1.852977e+00,7.778199e-01,6.873970e-01
28000,28000,653,1,1,1,0, 2.385704e+00,2.385600e+00,2.385857e+00,2.385750e+00,1.033062e+00,9.361770e-01
32000,32000,500,1,1,1,0, 2.988579e+00,2.988505e+00,2.988699e+00,2.988616e+00,1.326731e+00,1.221787e+00
5333,5333,18000,1,1,1,0, 6.621201e-01,6.615171e-01,6.624730e-01,6.623929e-01,2.770710e-01,3.397298e-02
4000,4000,32000,1,1,1,0, 7.189256e-01,7.181032e-01,7.194710e-01,7.185650e-01,3.419151e-01,1.910400e-02
3200,3200,50000,1,1,1,0, 7.712795e-01,7.710490e-01,7.716899e-01,7.712519e-01,4.149711e-01,1.222491e-02
