4000,4000,4000,1,1,1,0, 5.885248e-02,5.865288e-02,6.150699e-02,6.153798e-02,3.106403e-02,9.745836e-03
4000,4000,4000,1,1,1,0, 5.900136e-02,5.865192e-02,6.152892e-02,6.151295e-02,3.102612e-02,9.781837e-03
6000,6000,1777,1,1,1,0, 7.712916e-02,7.609105e-02,7.726216e-02,7.912016e-02,3.706908e-02,2.193499e-02
2666,2666,9000,1,1,1,0, 6.049032e-02,5.941796e-02,6.143618e-02,6.146717e-02,3.560114e-02,4.381895e-03
8000,8000,1000,1,1,1,0, 1.089655e-01,1.088519e-01,1.090670e-01,1.109099e-01,5.168295e-02,3.898001e-02
2000,2000,16000,1,1,1,0, 6.727548e-02,6.657505e-02,6.949186e-02,6.877923e-02,4.394913e-02,2.455950e-03
10000,10000,640,1,1,1,0, 1.524055e-01,1.523342e-01,1.525052e-01,1.540082e-01,7.285714e-02,6.087899e-02
1600,1600,25000,1,1,1,0, 7.359068e-02,7.294393e-02,7.487917e-02,7.493997e-02,5.336595e-02,1.584053e-03
12000,12000,444,1,1,1,0, 2.065257e-01,2.064261e-01,2.066250e-01,2.082341e-01,9.989715e-02,8.767891e-02
1333,1333,36000,1,1,1,0, 8.434281e-02,8.329701e-02,8.484507e-02,8.485389e-02,6.311297e-02,1.097918e-03
14000,14000,326,1,1,1,0, 2.711764e-01,2.711000e-01,2.712719e-01,2.726209e-01,1.324570e-01,1.192980e-01
1142,1142,49000,1,1,1,0, 9.279926e-02,9.267282e-02,9.378099e-02,9.463215e-02,7.316303e-02,8.149147e-04
16000,16000,250,1,1,1,0, 3.461323e-01,3.455153e-01,3.464503e-01,3.482141e-01,1.704631e-01,1.557891e-01
1000,1000,64000,1,1,1,0, 1.034922e-01,1.029391e-01,1.037631e-01,1.038134e-01,8.326817e-02,6.270409e-04
8000,8000,8000,1,1,1,0, 3.071018e-01,3.050489e-01,3.081272e-01,3.065481e-01,1.240449e-01,3.897309e-02
8000,8000,8000,1,1,1,0, 3.083072e-01,3.037379e-01,3.095269e-01,3.089988e-01,1.240149e-01,3.892899e-02
